,funding_total_usd,country_code,funding_rounds,time_between_first_last_funding,days_in_business,status,Industry_Group_Biotechnology,Industry_Group_Commerce and Shopping,Industry_Group_Community and Lifestyle,Industry_Group_Health Care,Industry_Group_Information Technology,Industry_Group_Internet Services,Industry_Group_Other,Industry_Group_Software
160,13708150,Other,3,924,3346,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,4000000,USA,1,0,4015,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
162,65000000,USA,3,1360,4229,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
163,1500000,Other,1,0,2008,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
164,5300000,Other,1,0,3285,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
165,4783500,Other,2,221,3106,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,25920000,USA,4,1224,3438,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
167,1011601,USA,3,620,3285,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
168,1500000,USA,1,0,3369,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
169,50000000,Other,1,0,1755,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
170,1500000,Other,2,446,2047,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
171,1000000,Other,1,0,519,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,1394250,Other,1,0,4015,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,5000000,Other,2,1100,2951,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
174,390000,USA,3,685,1824,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,2000000,USA,1,0,2920,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
176,13780000,Other,1,0,2415,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,15152514,Other,1,0,3285,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
178,1000000,USA,1,0,867,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
179,15000000,USA,3,904,6207,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
180,272000,Other,1,0,4746,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
181,25500000,Other,1,0,4381,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
182,56567194,USA,6,2817,5111,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,3393925,USA,2,826,2981,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,163934,Other,1,0,759,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,1000,Other,1,0,901,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
186,2234979,USA,5,756,2464,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
187,6246800,Other,2,366,6937,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
188,81000,USA,1,0,728,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
189,1050000,USA,3,791,2898,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
190,750000,USA,1,0,2189,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
191,38064570,USA,4,2165,4381,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,800000,USA,2,449,1093,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
193,1000000,USA,1,0,4381,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
194,17400000,USA,4,518,1824,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,2258720,Other,1,0,3607,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
196,485610,Other,2,769,1223,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,37956999,USA,3,423,1824,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,450000,USA,1,0,9009,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,100000000,Other,1,0,412,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,20900,USA,1,0,4015,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
201,1160000,USA,2,535,1215,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
202,3378975,USA,1,0,4015,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203,9416354,USA,6,1282,3650,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
204,70288000,USA,8,3440,4381,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205,1000000,Other,1,0,1399,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
206,500000,Other,1,0,504,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
207,60000000,USA,4,3372,4015,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
208,10000000,Other,1,0,1765,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209,50000,USA,1,0,1459,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
210,7000000,USA,1,0,1824,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211,1121081,Other,4,889,2121,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212,762500,Other,1,0,881,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
213,385980,Other,1,0,1459,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
214,250000,USA,1,0,4381,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
215,15000,USA,1,0,510,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,3500000,Other,1,0,2200,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
